area_name,status,state,1990,2000,2010,2017
Sedalia,Micropolitan Statistical Area,MO,35437,39418,42201,42558
Selinsgrove,Micropolitan Statistical Area,PA,36680,37506,39709,40801
Selma,Micropolitan Statistical Area,AL,48130,46361,43820,39215
Seneca,Micropolitan Statistical Area,SC,57494,66199,74275,77270
Seneca Falls,Micropolitan Statistical Area,NY,33683,33319,35244,34498
Sevierville,Micropolitan Statistical Area,TN,51050,71200,89725,97638
Seymour,Micropolitan Statistical Area,IN,37730,41397,42376,43884
Shawano,Micropolitan Statistical Area,WI,41232,45230,46187,45550
Shawnee,Micropolitan Statistical Area,OK,58760,65505,69442,72226
Sheboygan,Metropolitan Statistical Area,WI,103877,112663,115510,115344
Shelby,Micropolitan Statistical Area,NC,84958,96129,98030,97334
Shelbyville,Micropolitan Statistical Area,TN,30411,37608,45056,48117
Shelton,Micropolitan Statistical Area,WA,38341,49443,60696,63710
Sheridan,Micropolitan Statistical Area,WY,23562,26563,29116,30210
Sherman - Denison,Metropolitan Statistical Area,TX,95019,110574,120881,131140
Show Low,Micropolitan Statistical Area,AZ,77674,97452,107489,108956
Shreveport - Bossier City,Metropolitan Statistical Area,LA,401998,417787,439811,440933
Sidney,Micropolitan Statistical Area,OH,44915,48292,49418,48759
Sierra Vista - Douglas,Metropolitan Statistical Area,AZ,97624,117743,131356,124756
Sikeston,Micropolitan Statistical Area,MO,39376,40437,39187,38541
Silver City,Micropolitan Statistical Area,NM,27676,31004,29510,27687
Sioux City,Metropolitan Statistical Area,IA-NE-SD,154738,167860,168563,168618
Sioux Falls,Metropolitan Statistical Area,SD,153500,187151,228260,259094
Snyder,Micropolitan Statistical Area,TX,18634,16366,16921,17050
Somerset,Micropolitan Statistical Area,KY,49489,56281,63063,64449
Somerset,Micropolitan Statistical Area,PA,78218,80047,77746,74501
Sonora,Micropolitan Statistical Area,CA,48456,54522,55365,54248
South Bend - Mishawaka,Metropolitan Statistical Area,IN-MI,296529,316653,319215,321815
Spartanburg,Metropolitan Statistical Area,SC,257130,283896,313269,334391
Spearfish,Micropolitan Statistical Area,SD,20655,21805,24090,25429
Spencer,Micropolitan Statistical Area,IA,17585,17369,16667,16170
Spirit Lake,Micropolitan Statistical Area,IA,14909,16429,16667,17199
Spokane - Spokane Valley,Metropolitan Statistical Area,WA,401196,469756,527753,564236
Springfield,Metropolitan Statistical Area,IL,189550,201457,210170,208697
Springfield,Metropolitan Statistical Area,MA,602878,608517,621703,631652
Springfield,Metropolitan Statistical Area,MO,298818,368451,436711,462369
Springfield,Metropolitan Statistical Area,OH,147538,144742,138347,134557
Starkville,Micropolitan Statistical Area,MS,38375,42920,47671,49799
State College,Metropolitan Statistical Area,PA,124812,135678,154030,162660
Statesboro,Micropolitan Statistical Area,GA,43125,55961,70251,76149
Staunton - Waynesboro,Metropolitan Statistical Area,VA,97687,108953,118496,121999
St. Cloud,Metropolitan Statistical Area,MN,149509,167441,189093,197759
Steamboat Springs,Micropolitan Statistical Area,CO,14088,19679,23506,25220
Stephenville,Micropolitan Statistical Area,TX,27991,32981,37900,41969
Sterling,Micropolitan Statistical Area,CO,17567,20566,22709,21896
Sterling,Micropolitan Statistical Area,IL,60186,60662,58498,56118
Stevens Point,Micropolitan Statistical Area,WI,61405,67181,70019,70474
St. George,Metropolitan Statistical Area,UT,48560,90325,138115,165662
Stillwater,Micropolitan Statistical Area,OK,61507,68201,77350,81575
St. Joseph,Metropolitan Statistical Area,MO-KS,115816,123841,127332,126935
St. Louis,Metropolitan Statistical Area,MO-IL,2560517,2675369,2787763,2807338
St. Marys,Micropolitan Statistical Area,GA,30167,43658,50513,53044
St. Marys,Micropolitan Statistical Area,PA,34878,35114,31946,30197
Stockton - Lodi,Metropolitan Statistical Area,CA,480628,563660,685308,745424
Storm Lake,Micropolitan Statistical Area,IA,19965,20415,20260,20110
Sturgis,Micropolitan Statistical Area,MI,58913,62411,61295,60947
Sulphur Springs,Micropolitan Statistical Area,TX,28833,31960,35161,36496
Summerville,Micropolitan Statistical Area,GA,22236,25423,26015,24770
Summit Park,Micropolitan Statistical Area,UT,15518,29746,36324,41106
Sumter,Metropolitan Statistical Area,SC,101276,104687,107463,106847
Sunbury,Micropolitan Statistical Area,PA,96771,94867,94514,92029
Susanville,Micropolitan Statistical Area,CA,27598,33828,34895,31163
Sweetwater,Micropolitan Statistical Area,TX,16594,15805,15217,14770
Syracuse,Metropolitan Statistical Area,NY,659924,650133,662625,654841
Tahlequah,Micropolitan Statistical Area,OK,34049,42475,46985,48888
Talladega - Sylacauga,Micropolitan Statistical Area,AL,85172,92576,94049,90819
Tallahassee,Metropolitan Statistical Area,FL,259107,320259,368770,382627
Tampa - St. Petersburg - Clearwater,Metropolitan Statistical Area,FL,2067959,2396038,2783469,3091399
Taos,Micropolitan Statistical Area,NM,23118,29981,32938,32795
Taylorville,Micropolitan Statistical Area,IL,34418,35380,34800,33102
Terre Haute,Metropolitan Statistical Area,IN,166578,170952,172420,169965
Texarkana,Metropolitan Statistical Area,TX-AR,134098,143379,149195,150355
The Dalles,Micropolitan Statistical Area,OR,21683,23797,25211,26437
The Villages,Metropolitan Statistical Area,FL,31577,53337,93420,125165
Thomaston,Micropolitan Statistical Area,GA,26300,27761,27153,26135
Thomasville,Micropolitan Statistical Area,GA,38943,42791,44719,44779
Tiffin,Micropolitan Statistical Area,OH,59733,58663,56742,55243
Tifton,Micropolitan Statistical Area,GA,34998,38376,40131,40598
Toccoa,Micropolitan Statistical Area,GA,23436,25442,26172,25890
Toledo,Metropolitan Statistical Area,OH,614128,618216,610002,603668
Topeka,Metropolitan Statistical Area,KS,210257,224568,233866,233149
Torrington,Micropolitan Statistical Area,CT,174092,182183,189926,182177
Traverse City,Micropolitan Statistical Area,MI,106497,131331,143366,148671
Trenton,Metropolitan Statistical Area,NJ,325759,350773,367517,374733
Troy,Micropolitan Statistical Area,AL,27595,29688,32899,33267
Truckee - Grass Valley,Micropolitan Statistical Area,CA,78510,92055,98748,99814
Tucson,Metropolitan Statistical Area,AZ,666957,843702,980260,1022769
Tullahoma - Manchester,Micropolitan Statistical Area,TN,79962,93008,100209,103070
Tulsa,Metropolitan Statistical Area,OK,761019,859635,937531,990706
Tupelo,Micropolitan Statistical Area,MS,107833,125249,136268,140081
Tuscaloosa,Metropolitan Statistical Area,AL,186697,204116,230170,242799
Twin Falls,Metropolitan Statistical Area,ID,68718,82687,99604,108751
Tyler,Metropolitan Statistical Area,TX,151309,174861,209721,227727
Ukiah,Micropolitan Statistical Area,CA,80345,86253,87840,88018
Union City,Micropolitan Statistical Area,TN-KY,39988,40225,38620,36577
Urbana,Micropolitan Statistical Area,OH,36019,38904,40093,38840
Utica - Rome,Metropolitan Statistical Area,NY,316645,300018,299348,293572
Uvalde,Micropolitan Statistical Area,TX,23340,25919,26405,27132
Valdosta,Metropolitan Statistical Area,GA,99244,119570,139666,145437
Vallejo - Fairfield,Metropolitan Statistical Area,CA,339469,394495,413344,445458
Valley,Micropolitan Statistical Area,AL,36876,36600,34170,33713
Van Wert,Micropolitan Statistical Area,OH,30464,29654,28743,28217
Vermillion,Micropolitan Statistical Area,SD,13186,13538,13868,13990
Vernal,Micropolitan Statistical Area,UT,22211,25174,32588,35150
Vernon,Micropolitan Statistical Area,TX,15121,14679,13535,12764
Vicksburg,Micropolitan Statistical Area,MS,59250,61505,58371,55718
Victoria,Metropolitan Statistical Area,TX,80341,91000,94003,99646
Vidalia,Micropolitan Statistical Area,GA,31451,34367,36350,36030
Vincennes,Micropolitan Statistical Area,IN,39884,39263,38440,37508
Vineland - Bridgeton,Metropolitan Statistical Area,NJ,138053,146454,156628,152538
Vineyard Haven,Micropolitan Statistical Area,MA,11639,15001,16535,17325
Virginia Beach - Norfolk - Newport News,Metropolitan Statistical Area,VA-NC,1454015,1580603,1676817,1725246
Visalia - Porterville,Metropolitan Statistical Area,CA,311932,368011,442178,464493
Wabash,Micropolitan Statistical Area,IN,35069,34968,32885,31443
Waco,Metropolitan Statistical Area,TX,206835,232088,252768,268696
Wahpeton,Micropolitan Statistical Area,ND-MN,25664,25127,22897,22675
Walla Walla,Metropolitan Statistical Area,WA,52463,59241,62859,64614
Wapakoneta,Micropolitan Statistical Area,OH,44585,46230,45949,45778
Warner Robins,Metropolitan Statistical Area,GA,118505,144046,179605,191779
Warren,Micropolitan Statistical Area,PA,45050,43784,41815,39659
Warrensburg,Micropolitan Statistical Area,MO,42514,48270,52595,53897
Warsaw,Micropolitan Statistical Area,IN,65294,74053,77356,79206
Washington,Micropolitan Statistical Area,IN,27533,29815,31654,33113
Washington,Micropolitan Statistical Area,NC,42283,44916,47763,47088
Washington - Arlington - Alexandria,Metropolitan Statistical Area,DC-VA-MD-WV,4156672,4837674,5636361,6216589
Washington Court House,Micropolitan Statistical Area,OH,27466,28474,29025,28752
Waterloo - Cedar Falls,Metropolitan Statistical Area,IA,158640,163721,167819,169892
Watertown,Micropolitan Statistical Area,SD,22698,25909,27225,28099
Watertown - Fort Atkinson,Micropolitan Statistical Area,WI,67783,75855,83681,84832
Watertown - Fort Drum,Metropolitan Statistical Area,NY,110943,111716,116232,114187
Wauchula,Micropolitan Statistical Area,FL,19499,26854,27731,27411
Wausau,Metropolitan Statistical Area,WI,115400,125908,134063,135732
Waycross,Micropolitan Statistical Area,GA,48799,51121,55068,55178
Weatherford,Micropolitan Statistical Area,OK,26897,26147,27469,28800
Weirton - Steubenville,Metropolitan Statistical Area,WV-OH,142523,131995,124455,118250
Wenatchee,Metropolitan Statistical Area,WA,78455,99200,110895,118478
West Plains,Micropolitan Statistical Area,MO,31447,37273,40400,40103
West Point,Micropolitan Statistical Area,MS,21120,21984,20634,19640
Wheeling,Metropolitan Statistical Area,WV-OH,159301,153200,147951,141254
Whitewater - Elkhorn,Micropolitan Statistical Area,WI,75000,91895,102228,103082
Wichita,Metropolitan Statistical Area,KS,519403,579860,630924,645628
Wichita Falls,Metropolitan Statistical Area,TX,140375,151596,151476,151230
Williamsport,Metropolitan Statistical Area,PA,118710,120003,116108,113841
Williston,Micropolitan Statistical Area,ND,21129,19754,22399,33349
Willmar,Micropolitan Statistical Area,MN,38761,41193,42239,42743
Wilmington,Metropolitan Statistical Area,NC,149139,201386,254881,288156
Wilmington,Micropolitan Statistical Area,OH,35444,40473,42037,42009
Wilson,Micropolitan Statistical Area,NC,66061,73810,81230,81671
Winchester,Metropolitan Statistical Area,VA-WV,84168,102996,128475,137887
Winnemucca,Micropolitan Statistical Area,NV,12844,16081,16525,16826
Winona,Micropolitan Statistical Area,MN,47828,49996,51461,50873
Winston-Salem,Metropolitan Statistical Area,NC,488114,569355,640554,667733
Wisconsin Rapids - Marshfield,Micropolitan Statistical Area,WI,73605,75500,74749,73126
Woodward,Micropolitan Statistical Area,OK,18976,18489,20081,20459
Wooster,Micropolitan Statistical Area,OH,101461,111562,114516,116038
Worcester,Metropolitan Statistical Area,MA-CT,812236,859106,916802,942475
Worthington,Micropolitan Statistical Area,MN,20098,20832,21378,21944
Yakima,Metropolitan Statistical Area,WA,188823,222578,243237,250193
Yankton,Micropolitan Statistical Area,SD,19252,21657,22438,22662
York - Hanover,Metropolitan Statistical Area,PA,339574,381791,434998,446078
Youngstown - Warren - Boardman,Metropolitan Statistical Area,OH-PA,613604,603061,565799,541926
Yuba City,Metropolitan Statistical Area,CA,122643,139196,166889,173679
Yuma,Metropolitan Statistical Area,AZ,106895,159995,195750,207534
Zanesville,Micropolitan Statistical Area,OH,82068,84549,86086,86149
Zapata,Micropolitan Statistical Area,TX,9279,12081,14018,14322
