area_name,status,state,1990,2000,2010,2017
Colorado Springs,Metropolitan Statistical Area,CO,409482,537475,645615,723878
Columbia,Metropolitan Statistical Area,MO,112379,135477,162643,178271
Columbia,Metropolitan Statistical Area,SC,548935,647216,767476,825033
Columbus,Metropolitan Statistical Area,GA-AL,266452,281878,295531,303811
Columbus,Metropolitan Statistical Area,IN,63657,71467,76786,82040
Columbus,Micropolitan Statistical Area,MS,59308,61596,59779,59186
Columbus,Micropolitan Statistical Area,NE,29820,31574,32237,33175
Columbus,Metropolitan Statistical Area,OH,1462268,1675226,1902001,2078725
Concord,Micropolitan Statistical Area,NH,120240,136264,146447,149216
Connersville,Micropolitan Statistical Area,IN,26015,25591,24302,23209
Cookeville,Micropolitan Statistical Area,TN,78306,93426,106063,111363
Coos Bay,Micropolitan Statistical Area,OR,60273,62795,63043,63888
Cordele,Micropolitan Statistical Area,GA,20011,22020,23439,22736
Corinth,Micropolitan Statistical Area,MS,31722,34519,37057,37210
Cornelia,Micropolitan Statistical Area,GA,27622,35884,43041,44567
Corning,Micropolitan Statistical Area,NY,99088,98681,98986,96281
Corpus Christi,Metropolitan Statistical Area,TX,367786,403242,428188,454008
Corsicana,Micropolitan Statistical Area,TX,39926,45113,47840,48701
Cortland,Micropolitan Statistical Area,NY,48963,48704,49285,47786
Corvallis,Metropolitan Statistical Area,OR,70811,78143,85592,90951
Coshocton,Micropolitan Statistical Area,OH,35427,36654,36898,36544
Craig,Micropolitan Statistical Area,CO,11357,13178,13795,13131
Crawfordsville,Micropolitan Statistical Area,IN,34436,37629,38121,38525
Crescent City,Micropolitan Statistical Area,CA,23460,27505,28610,27470
Crestview - Fort Walton Beach - Destin,Metropolitan Statistical Area,FL,171536,211081,235865,271346
Crossville,Micropolitan Statistical Area,TN,34736,46781,56062,59078
Cullman,Micropolitan Statistical Area,AL,67613,77426,80410,82755
Cullowhee,Micropolitan Statistical Area,NC,26835,33103,40276,42973
Cumberland,Metropolitan Statistical Area,MD-WV,101643,101995,103261,98837
Dallas - Fort Worth - Arlington,Metropolitan Statistical Area,TX,4018778,5204627,6426231,7399662
Dalton,Metropolitan Statistical Area,GA,98609,120062,142227,144440
Danville,Metropolitan Statistical Area,IL,88257,83929,81625,77909
Danville,Micropolitan Statistical Area,KY,45686,51001,53170,54380
Danville,Micropolitan Statistical Area,VA,108728,110102,106550,102388
Daphne - Fairhope - Foley,Metropolitan Statistical Area,AL,98280,140416,182265,212628
Davenport - Moline - Rock Island,Metropolitan Statistical Area,IA-IL,368145,376067,379689,382263
Dayton,Metropolitan Statistical Area,OH,803724,805971,799251,803416
Dayton,Micropolitan Statistical Area,TN,24344,28398,31802,32691
Decatur,Metropolitan Statistical Area,AL,131556,145910,153825,151867
Decatur,Metropolitan Statistical Area,IL,117206,114690,110768,105801
Decatur,Micropolitan Statistical Area,IN,31095,33605,34387,35491
Defiance,Micropolitan Statistical Area,OH,39350,39502,39031,38156
Del Rio,Micropolitan Statistical Area,TX,38721,44834,48879,49205
Deltona - Daytona Beach - Ormond Beach,Metropolitan Statistical Area,FL,399438,493203,590294,649202
Deming,Micropolitan Statistical Area,NM,18110,24986,25096,24078
Denver - Aurora - Lakewood,Metropolitan Statistical Area,CO,1650489,2179476,2543592,2888227
DeRidder,Micropolitan Statistical Area,LA,30083,32948,35654,36928
Des Moines - West Des Moines,Metropolitan Statistical Area,IA,416346,481399,569633,645911
Detroit - Warren - Dearborn,Metropolitan Statistical Area,MI,4248699,4452778,4296317,4313002
Dickinson,Micropolitan Statistical Area,ND,22832,22635,24199,30209
Dixon,Micropolitan Statistical Area,IL,34392,36062,36031,34406
Dodge City,Micropolitan Statistical Area,KS,27463,32452,33848,34381
Dothan,Metropolitan Statistical Area,AL,120352,130828,145643,147914
Douglas,Micropolitan Statistical Area,GA,29592,37421,42356,43014
Dover,Metropolitan Statistical Area,DE,110993,126771,162349,176824
Dublin,Micropolitan Statistical Area,GA,48317,53387,58418,57118
DuBois,Micropolitan Statistical Area,PA,78097,83529,81594,79685
Dubuque,Metropolitan Statistical Area,IA,86403,89133,93653,97041
Duluth,Metropolitan Statistical Area,MN-WI,269249,275579,279771,278782
Dumas,Micropolitan Statistical Area,TX,17865,20123,21904,22097
Duncan,Micropolitan Statistical Area,OK,42299,43204,45048,43332
Dunn,Micropolitan Statistical Area,NC,67833,90978,114697,132754
Durango,Micropolitan Statistical Area,CO,32284,43957,51335,55589
Durant,Micropolitan Statistical Area,OK,32089,36524,42416,46319
Durham - Chapel Hill,Metropolitan Statistical Area,NC,344665,423858,506623,567428
Dyersburg,Micropolitan Statistical Area,TN,34854,37284,38330,37463
Eagle Pass,Micropolitan Statistical Area,TX,36378,47285,54258,58216
Easton,Micropolitan Statistical Area,MD,30549,33806,37782,37103
East Stroudsburg,Metropolitan Statistical Area,PA,95681,138615,169838,168046
Eau Claire,Metropolitan Statistical Area,WI,137543,148345,161390,167484
Edwards,Micropolitan Statistical Area,CO,21928,41623,52197,54772
Effingham,Micropolitan Statistical Area,IL,31704,34267,34242,34132
El Campo,Micropolitan Statistical Area,TX,39955,41191,41280,41968
El Centro,Metropolitan Statistical Area,CA,109303,142334,174528,182830
El Dorado,Micropolitan Statistical Area,AR,46719,45633,41639,39449
Elizabeth City,Micropolitan Statistical Area,NC,47649,53143,64094,63798
Elizabethtown - Fort Knox,Metropolitan Statistical Area,KY,125089,133981,148351,150430
Elk City,Micropolitan Statistical Area,OK,18812,19807,22119,21793
Elkhart - Goshen,Metropolitan Statistical Area,IN,156198,182793,197561,205032
Elkins,Micropolitan Statistical Area,WV,27803,28274,29405,28785
Elko,Micropolitan Statistical Area,NV,35010,46938,50929,54610
Ellensburg,Micropolitan Statistical Area,WA,26725,33369,40906,46205
Elmira,Metropolitan Statistical Area,NY,95195,91119,88841,85557
El Paso,Metropolitan Statistical Area,TX,594525,682917,804123,844818
Emporia,Micropolitan Statistical Area,KS,34732,35934,33690,33392
Enid,Metropolitan Statistical Area,OK,56735,57811,60580,61581
Enterprise,Micropolitan Statistical Area,AL,40240,43639,49948,51874
Erie,Metropolitan Statistical Area,PA,275575,280907,280564,274541
Escanaba,Micropolitan Statistical Area,MI,37780,38528,37069,35965
Española,Micropolitan Statistical Area,NM,34365,41171,40234,39159
Eufaula,Micropolitan Statistical Area,AL-GA,27627,31638,29970,27628
Eugene,Metropolitan Statistical Area,OR,282912,323011,351713,374748
Eureka - Arcata - Fortuna,Micropolitan Statistical Area,CA,119118,126508,134623,136754
Evanston,Micropolitan Statistical Area,WY,18705,19745,21118,20495
Evansville,Metropolitan Statistical Area,IN-KY,278990,296236,311554,315669
Fairbanks,Metropolitan Statistical Area,AK,77720,82849,97585,99703
Fairfield,Micropolitan Statistical Area,IA,16310,16180,16840,18422
Fairmont,Micropolitan Statistical Area,MN,22914,21807,20840,19850
Fairmont,Micropolitan Statistical Area,WV,57249,56603,56418,56337
Fallon,Micropolitan Statistical Area,NV,17938,23984,24877,24230
Fargo,Metropolitan Statistical Area,ND-MN,153296,174398,208777,241356
Faribault - Northfield,Micropolitan Statistical Area,MN,49183,56663,64142,65968
Farmington,Micropolitan Statistical Area,MO,48904,55643,65370,66705
Farmington,Metropolitan Statistical Area,NM,91605,113812,130045,126926
Fayetteville,Metropolitan Statistical Area,NC,297569,336686,366322,386662
Fayetteville - Springdale - Rogers,Metropolitan Statistical Area,AR-MO,239495,347040,463210,537463
Fergus Falls,Micropolitan Statistical Area,MN,50714,57083,57303,58345
Fernley,Micropolitan Statistical Area,NV,20001,34503,51980,54122
Findlay,Micropolitan Statistical Area,OH,65536,71303,74789,75754
Fitzgerald,Micropolitan Statistical Area,GA,16245,17498,17634,16996
Flagstaff,Metropolitan Statistical Area,AZ,96591,116320,134435,140776
Flint,Metropolitan Statistical Area,MI,430459,436213,425788,407385
Florence,Metropolitan Statistical Area,SC,176195,193153,205571,205831
Florence - Muscle Shoals,Metropolitan Statistical Area,AL,131327,142931,147137,147038
Fond du Lac,Metropolitan Statistical Area,WI,90083,97284,101630,102548
Forest City,Micropolitan Statistical Area,NC,56956,62923,67816,66551
Forrest City,Micropolitan Statistical Area,AR,28497,29330,28254,25930
Fort Collins,Metropolitan Statistical Area,CO,186136,251489,299628,343976
Fort Dodge,Micropolitan Statistical Area,IA,40342,40230,38013,36605
Fort Leonard Wood,Micropolitan Statistical Area,MO,41307,41170,52274,52059
Fort Madison - Keokuk,Micropolitan Statistical Area,IA-IL-MO,67607,65649,62095,59038
Fort Morgan,Micropolitan Statistical Area,CO,21939,27172,28159,28192
Fort Payne,Micropolitan Statistical Area,AL,54651,64436,71115,71617
Fort Polk South,Micropolitan Statistical Area,LA,61961,52539,52334,50726
Fort Smith,Metropolitan Statistical Area,AR-OK,219181,255404,280538,282086
Fort Wayne,Metropolitan Statistical Area,IN,354435,390102,416254,434617
Frankfort,Micropolitan Statistical Area,IN,30974,33879,33223,32317
Frankfort,Micropolitan Statistical Area,KY,58714,66796,70704,73029
Fredericksburg,Micropolitan Statistical Area,TX,17204,20806,24837,26646
Freeport,Micropolitan Statistical Area,IL,48052,48995,47711,45054
Fremont,Micropolitan Statistical Area,NE,34500,36150,36685,36707
Fremont,Micropolitan Statistical Area,OH,61963,61797,60946,59195
